City,Max_Temp,Humidity,Cloudiness,Wind_Speed,Latitude,Longitude,Country,Date
Te Anau,60.39,68,0,3.02,-45.42,167.72,NZ,1604991012
San Francisco,50.0,49,20,5.82,37.77,-122.42,US,1604990887
Hithadhoo,82.71,77,100,21.7,-0.6,73.08,MV,1604991013
George Town,89.6,59,20,4.7,5.41,100.34,MY,1604990932
Qeshm,91.4,22,0,4.7,26.96,56.27,IR,1604991013
Castro,58.98,95,100,7.43,-24.79,-50.01,BR,1604990927
East London,59.0,82,75,11.41,-33.02,27.91,ZA,1604990864
Oodweyne,79.93,39,0,5.88,9.41,45.06,SO,1604991014
Nanortalik,28.54,93,19,14.29,60.14,-45.24,GL,1604991014
Naze,73.4,56,40,12.75,28.37,129.48,JP,1604991014
Saint-Augustin,34.39,90,100,12.84,51.23,-58.65,CA,1604991015
Clyde River,6.8,84,90,9.17,70.47,-68.59,CA,1604991015
Esperance,57.2,87,90,32.21,-33.87,121.9,AU,1604991015
Sola,80.6,94,90,14.99,-13.88,167.55,VU,1604991015
Bredasdorp,59.0,62,20,3.36,-34.53,20.04,ZA,1604991016
Hilo,75.2,83,75,9.17,19.73,-155.09,US,1604990836
Provideniya,33.85,95,100,14.03,64.38,-173.3,RU,1604991016
Empalme,59.0,60,0,3.0,27.97,-110.82,MX,1604991016
Jiaozuo,68.14,26,0,6.89,35.24,113.23,CN,1604991017
Teya,33.53,91,81,13.89,60.38,92.63,RU,1604991017
Ahipara,57.38,81,20,13.6,-35.17,173.17,NZ,1604991017
Yellowknife,23.0,85,75,17.22,62.46,-114.35,CA,1604990812
Okhotsk,1.2,86,0,14.5,59.38,143.3,RU,1604991017
Albany,46.0,100,1,2.3,42.6,-73.97,US,1604990703
Mount Gambier,96.8,18,40,19.46,-37.83,140.77,AU,1604991018
Zharkent,51.3,45,100,7.61,44.16,80.0,KZ,1604991018
Tasiilaq,31.68,96,100,12.64,65.61,-37.64,GL,1604991018
Inírida,72.55,97,99,1.68,3.87,-67.92,CO,1604991019
Saint-Philippe,82.4,54,0,23.04,-21.36,55.77,RE,1604991019
La Rioja,53.01,93,40,8.05,42.25,-2.5,ES,1604991019
Willowmore,55.13,43,0,10.4,-33.29,23.49,ZA,1604991019
Haines Junction,26.6,53,0,6.93,60.75,-137.51,CA,1604991019
Ngerengere,75.2,88,75,4.23,-6.75,38.12,TZ,1604991020
Hamilton,64.99,67,1,8.05,39.18,-84.53,US,1604991020
Vaini,77.0,83,40,8.05,-21.2,-175.2,TO,1604991020
Ilebo,70.41,93,100,1.74,-4.32,20.58,CD,1604991020
Morondava,85.95,55,0,7.74,-20.28,44.28,MG,1604991021
Gobabis,74.17,29,1,11.56,-22.45,18.97,NA,1604991021
Huanren,41.4,62,0,3.47,41.26,125.37,CN,1604991021
Lebu,51.03,92,8,16.49,-37.62,-73.65,CL,1604990872
La Ronge,5.0,84,4,4.7,55.1,-105.28,CA,1604991022
Lucea,82.4,65,20,13.87,18.45,-78.17,JM,1604991022
Bocana de Paiwas,72.18,93,89,3.02,12.79,-85.12,NI,1604991022
Touros,73.4,100,75,1.12,-5.2,-35.46,BR,1604991023
Ponta do Sol,64.4,77,75,6.93,32.67,-17.1,PT,1604991023
Natal,75.2,94,75,8.05,-5.79,-35.21,BR,1604991023
Praxédis Guerrero,53.6,40,20,11.41,31.37,-106.02,MX,1604991023
Daneş,37.4,100,90,2.89,46.22,24.7,RO,1604991023
Aklavik,-2.2,83,0,3.36,68.22,-135.01,CA,1604991024
Oparino,29.88,96,100,9.73,59.85,48.28,RU,1604991024
Wodonga,84.2,30,24,9.17,-36.12,146.88,AU,1604991024
Jieshi,78.01,49,36,23.8,22.81,115.83,CN,1604991024
Bambanglipuro,84.92,67,86,14.43,-7.95,110.28,ID,1604991024
Praia,77.0,78,0,13.87,14.92,-23.51,CV,1604991001
Jamestown,55.4,71,1,8.05,42.1,-79.24,US,1604990747
Krasnoarmiys'k,43.9,62,13,13.15,48.28,37.18,UA,1604991025
Portland,46.0,65,90,8.05,45.52,-122.68,US,1604990637
Vostok,10.9,91,100,5.82,46.49,135.88,RU,1604991026
Qaanaaq,-4.86,64,0,6.58,77.48,-69.36,GL,1604990930
Sitka,42.8,60,1,6.93,57.05,-135.33,US,1604991026
Tejutla,64.0,97,51,2.19,15.12,-91.8,GT,1604991026
Havelock,66.2,93,90,5.82,34.88,-76.9,US,1604991026
Nishihara,73.4,56,90,17.22,26.18,127.76,JP,1604991027
Dikson,13.1,97,100,15.37,73.51,80.55,RU,1604991027
Itoman,73.4,64,75,19.46,26.12,127.67,JP,1604991027
Hīt,71.42,57,0,7.11,33.64,42.83,IQ,1604991027
Verāval,85.77,35,0,7.92,20.9,70.37,IN,1604991028
Kuytun,35.51,95,100,3.04,54.34,101.5,RU,1604991028
Leningradskiy,24.6,94,100,17.27,69.38,178.42,RU,1604991028
Dingle,84.07,78,100,1.66,11.0,122.67,PH,1604991028
Obo,79.41,69,43,2.73,5.4,26.49,CF,1604991028
Harper,78.03,85,71,5.23,4.38,-7.72,LR,1604991029
Kaitangata,52.0,77,0,11.01,-46.28,169.85,NZ,1604991029
Iquique,64.4,63,90,8.05,-20.22,-70.14,CL,1604991029
Santa Cruz del Sur,79.97,84,0,13.89,20.71,-78.0,CU,1604991029
Hanna,19.4,85,99,2.24,51.63,-111.9,CA,1604991029
Pevek,18.28,95,87,7.65,69.7,170.31,RU,1604991030
Anadyr,28.4,86,75,40.26,64.75,177.48,RU,1604991005
Bayshore Gardens,78.8,88,90,11.41,27.43,-82.59,US,1604991030
‘Āhuimanu,79.0,74,40,12.75,21.44,-157.84,US,1604991030
Poum,74.98,74,100,16.11,-20.23,164.02,NC,1604990929
Rome,50.0,81,1,8.05,43.21,-75.46,US,1604991031
Thunder Bay,33.8,74,40,19.46,48.4,-89.32,CA,1604990793
Yurimaguas,72.99,96,100,1.05,-5.9,-76.08,PE,1604991031
Rocha,56.19,92,100,5.17,-34.48,-54.33,UY,1604991031
Dengzhou,57.96,36,0,8.03,37.81,120.75,CN,1604991032
Kyren,39.79,69,0,1.45,51.68,102.14,RU,1604991032
Nioro,73.76,96,1,3.56,13.35,-15.75,GM,1604991032
Porosozero,30.49,95,1,8.46,62.72,32.73,RU,1604991032
Caxias,55.99,100,40,1.12,38.7,-9.28,PT,1604991033
Tocopilla,59.41,69,37,1.77,-22.09,-70.2,CL,1604991033
San Patricio,73.0,94,20,3.36,28.02,-97.52,US,1604991033
Abbeville,53.01,66,1,4.43,50.1,1.83,FR,1604991033
Caravelas,71.4,91,0,3.33,-17.71,-39.25,BR,1604990871
Saint Lawrence,63.0,82,20,3.36,36.06,14.2,MT,1604991034
Leh,40.78,45,97,3.76,34.17,77.58,IN,1604990933
Inuvik,-2.2,83,0,3.36,68.35,-133.72,CA,1604991034
San Quintín,56.05,57,0,4.7,30.48,-115.95,MX,1604991035
Cashel,50.0,95,100,1.99,52.52,-7.89,IE,1604991035
Bridlington,52.0,100,64,7.78,54.08,-0.19,GB,1604991035
Arraial do Cabo,73.27,93,100,11.7,-22.97,-42.03,BR,1604990925
Ibrā’,87.71,24,0,3.98,22.69,58.53,OM,1604991036
Chapais,55.4,76,1,12.75,49.78,-74.85,CA,1604991036
Noumea,73.4,60,90,16.11,-22.28,166.46,NC,1604990856
Kodīnar,86.79,35,0,10.89,20.79,70.7,IN,1604991037
Mahon,57.2,93,20,3.36,39.89,4.27,ES,1604991037
Mbulu,63.3,83,98,6.69,-3.85,35.53,TZ,1604991037
Bethel,52.0,87,1,3.04,41.37,-73.41,US,1604991038
Prince Rupert,42.8,93,90,6.93,54.32,-130.32,CA,1604991038
Los Palacios,75.04,94,53,6.76,22.59,-83.25,CU,1604991038
Korla,53.24,33,74,6.6,41.76,86.15,CN,1604991038
Mar del Plata,55.4,93,78,8.23,-38.0,-57.56,AR,1604991038
Alvarães,73.35,97,100,1.21,-3.22,-64.8,BR,1604990863
Acaponeta,71.51,85,0,2.13,22.5,-105.36,MX,1604991039
Vilhena,68.31,94,100,2.06,-12.74,-60.15,BR,1604991039
Norman Wells,-4.0,76,40,13.87,65.28,-126.83,CA,1604990976
Petropavlovka,37.65,75,100,1.92,50.61,105.32,RU,1604991040
Codrington,79.93,68,0,13.94,-38.27,141.97,AU,1604991040
Chui,63.05,78,100,9.75,-33.7,-53.46,UY,1604991040
Bathsheba,80.6,83,40,16.11,13.22,-59.52,BB,1604991040
Bay Roberts,42.01,98,100,5.01,47.6,-53.26,CA,1604991040
Lucapa,71.51,85,100,7.02,-8.42,20.74,AO,1604991041
Copiapó,55.4,82,8,2.24,-27.37,-70.33,CL,1604991041
Matara,86.36,65,100,7.76,5.95,80.54,LK,1604991041
Saint George,35.6,74,1,4.7,37.1,-113.58,US,1604990754
Upernavik,4.5,83,100,9.06,72.79,-56.15,GL,1604991042
Boyolangu,84.47,67,100,10.94,-8.12,111.89,ID,1604991042
Sechura,62.33,83,100,6.24,-5.56,-80.82,PE,1604991042
Port Hardy,41.0,100,75,2.24,50.7,-127.42,CA,1604991042
Los Llanos de Aridane,68.0,77,90,8.05,28.66,-17.92,ES,1604991043
Puerto Ayora,66.0,90,42,7.87,-0.74,-90.35,EC,1604991043
Longyearbyen,21.2,62,75,17.22,78.22,15.64,SJ,1604990924
Tripoli,68.63,62,30,4.47,32.88,13.19,LY,1604991043
Mawlaik,88.07,40,0,2.89,23.63,94.42,MM,1604991043
Vila Franca do Campo,66.2,82,75,19.46,37.72,-25.43,PT,1604991044
Pringsewu,90.91,47,100,3.96,-5.36,104.97,ID,1604991044
Tommot,18.01,96,100,1.34,58.96,126.29,RU,1604991044
Viedma,61.0,94,100,11.97,-40.81,-63.0,AR,1604991044
Pergamino,57.99,92,0,1.01,-33.89,-60.57,AR,1604990848
Ternate,84.36,72,20,6.42,0.8,127.4,ID,1604991045
Iqaluit,3.2,77,75,9.17,63.75,-68.51,CA,1604991045
Camocim,78.53,82,6,12.53,-2.9,-40.84,BR,1604991045
Novobirilyussy,36.99,81,99,11.45,56.95,90.67,RU,1604991046
Laas,37.4,86,40,6.93,46.62,10.7,IT,1604991046
Ola,7.02,84,51,11.3,59.58,151.28,RU,1604991046
Esim,79.03,84,34,7.38,4.87,-2.24,GH,1604991046
Matagami,57.2,76,1,10.29,49.75,-77.63,CA,1604991046
Arlit,68.59,29,0,8.84,18.74,7.39,NE,1604991046
Herat Province,51.8,57,25,2.24,34.5,62.0,AF,1604991047
Quatre Cocos,80.01,69,40,12.75,-20.21,57.76,MU,1604991047
Cabedelo,75.2,94,75,8.05,-6.98,-34.83,BR,1604991047
Departamento de Maldonado,61.0,93,0,4.7,-34.67,-54.92,UY,1604991048
Bagdarin,28.89,95,76,2.68,54.43,113.6,RU,1604991048
Comodoro Rivadavia,53.6,87,0,3.36,-45.87,-67.5,AR,1604991048
Lagoa,62.4,91,100,15.35,39.05,-27.98,PT,1604990931
Mishawaka,69.8,64,90,13.87,41.66,-86.16,US,1604991049
Tilichiki,9.18,94,78,9.75,60.47,166.1,RU,1604991049
Kaeo,60.01,76,11,8.99,-35.1,173.78,NZ,1604991049
Skellefteå,26.6,92,0,4.7,64.75,20.95,SE,1604991049
Ribeira Grande,63.23,90,100,17.16,38.52,-28.7,PT,1604990930
Langsa,85.46,71,19,4.74,4.47,97.97,ID,1604990948
Mahébourg,78.8,69,40,12.75,-20.41,57.7,MU,1604991050
Umm Kaddadah,76.64,22,100,19.1,13.6,26.69,SD,1604991050
Mehamn,35.6,80,75,29.97,71.04,27.85,NO,1604991050
Tuatapere,54.0,82,0,13.0,-46.13,167.68,NZ,1604991051
Katsuura,62.01,55,75,4.7,35.13,140.3,JP,1604991051
Severomuysk,24.03,96,91,3.87,56.15,113.43,RU,1604991051
Kitimat,36.0,95,100,1.25,54.05,-128.65,CA,1604991051
Guerrero Negro,61.03,71,0,13.2,27.98,-114.06,MX,1604991052
Redmond,39.99,94,100,6.69,47.67,-122.12,US,1604990750
Port Lincoln,86.04,28,74,3.8,-34.73,135.87,AU,1604990928
Yabēlo,68.77,64,4,18.14,4.88,38.08,ET,1604991052
Peterhead,50.0,100,90,11.41,57.51,-1.8,GB,1604991052
Vardø,32.0,79,40,21.92,70.37,31.11,NO,1604991053
Mount Isa,98.6,18,100,14.99,-20.73,139.5,AU,1604991053
Semey,42.8,81,75,24.61,50.41,80.23,KZ,1604990780
Acaraú,77.85,86,13,11.36,-2.89,-40.12,BR,1604991053
Mossamedes,74.68,75,90,15.75,-15.2,12.15,AO,1604991053
Lüderitz,69.21,27,0,17.85,-26.65,15.16,NA,1604991054
Torbay,41.0,93,90,5.82,47.67,-52.73,CA,1604991054
Yanam,86.0,51,0,9.17,16.73,82.22,IN,1604991054
Luau,72.34,79,85,2.24,-10.71,22.22,AO,1604991054
Olafsvik,41.88,66,0,19.35,64.89,-23.71,IS,1604991055
São Mateus,69.6,95,21,2.55,-18.72,-39.86,BR,1604990773
Lima,64.4,82,75,9.17,-12.04,-77.03,PE,1604990833
Nerchinskiy Zavod,28.17,98,97,4.74,51.31,119.61,RU,1604991056
Azul,50.67,96,0,5.88,-36.78,-59.86,AR,1604990829
San Joaquin,42.01,56,1,4.7,37.93,-121.3,US,1604991056
Mingoyo,84.2,58,75,17.22,-10.1,39.63,TZ,1604991057
Dargaville,55.9,86,32,8.52,-35.93,173.88,NZ,1604991057
Ponta Delgada,66.2,82,75,19.46,37.73,-25.67,PT,1604991057
Santiago del Estero,73.0,74,100,1.99,-27.8,-64.26,AR,1604991058
Svetlaya,25.57,79,0,9.73,46.54,138.33,RU,1604991058
Kavieng,83.75,72,51,6.15,-2.57,150.8,PG,1604991058
Saint-Joseph,82.4,54,0,23.04,-21.37,55.62,RE,1604991059
Fort Nelson,28.4,86,90,9.17,58.81,-122.7,CA,1604991059
Birin,68.14,47,0,4.99,26.89,88.07,NP,1604991059
Antofagasta,60.8,72,90,4.7,-23.65,-70.4,CL,1604990959
Concepción de la Vega,73.99,100,75,11.41,19.22,-70.53,DO,1604991060
Cabo Rojo,78.01,94,100,4.23,18.09,-67.15,PR,1604991060
Broken Hill,93.2,20,39,17.22,-31.95,141.43,AU,1604991016
Acajutla,69.01,100,43,1.01,13.59,-89.83,SV,1604991061
Udachny,28.4,79,90,11.18,66.42,112.4,RU,1604991007
Pacific Grove,44.6,56,1,5.82,36.62,-121.92,US,1604990864
Gimli,19.4,67,100,10.29,50.63,-96.99,CA,1604991061
Klaksvík,50.0,100,98,16.11,62.23,-6.59,FO,1604991061
Bambous Virieux,79.0,69,40,12.75,-20.34,57.76,MU,1604990931
Biak,84.61,61,47,2.42,-0.91,122.88,ID,1604991062
Najrān,77.0,29,0,4.7,17.49,44.13,SA,1604991062
Yangjiang,74.14,45,89,11.32,21.85,111.97,CN,1604991062
Broome,57.2,71,1,4.7,42.25,-75.83,US,1604991063
Al Bardīyah,64.76,72,0,12.64,31.76,25.09,LY,1604991063
Rāyagada,82.9,41,0,3.69,19.17,83.42,IN,1604991063
Nipawin,-7.6,83,1,5.82,53.37,-104.0,CA,1604991063
Honningsvåg,35.6,80,75,20.8,70.98,25.97,NO,1604991064
Esna,73.87,39,79,9.19,25.29,32.55,EG,1604991064
Meulaboh,85.23,66,50,6.42,4.14,96.13,ID,1604991064
Auki,82.51,77,72,4.83,-8.77,160.7,SB,1604991064
Tautira,78.8,69,75,4.7,-17.73,-149.15,PF,1604991065
Anloga,77.0,88,20,1.12,5.79,0.9,GH,1604991065
Yaan,76.59,81,19,4.21,7.38,8.57,NG,1604991065
Wukari,76.98,52,5,2.98,7.85,9.78,NG,1604991065
Tura,82.76,50,0,1.5,25.52,90.22,IN,1604991066
Straumen,48.0,100,0,5.82,63.87,11.3,NO,1604991066
Port Blair,84.06,67,0,14.54,11.67,92.75,IN,1604991066
Kiunga,90.75,59,100,3.4,-6.12,141.29,PG,1604991066
Kudahuvadhoo,83.77,68,100,4.63,2.67,72.89,MV,1604991067
Zhalantun,39.7,68,0,5.1,48.0,122.72,CN,1604991067
Yurkivka,44.24,67,0,8.1,49.01,31.1,UA,1604991067
Maceió,73.4,94,40,3.36,-9.67,-35.74,BR,1604990660
Tupã,68.14,91,100,3.18,-21.93,-50.51,BR,1604991068
Koumac,73.94,72,100,15.52,-20.57,164.28,NC,1604991068
Manokwari,85.44,59,94,2.44,-0.87,134.08,ID,1604991068
Sinjār,64.04,63,21,6.58,36.32,41.88,IQ,1604991069
Waddān,60.46,73,0,6.96,29.16,16.14,LY,1604991069
Kurumkan,34.5,87,96,0.45,54.3,110.3,RU,1604991069
Talnakh,3.2,91,40,13.42,69.49,88.4,RU,1604991049
Koungheul,73.63,81,0,3.18,13.98,-14.8,SN,1604991069
Naples,63.0,81,0,2.24,40.83,14.25,IT,1604991070
Necochea,54.0,89,23,5.01,-38.55,-58.74,AR,1604991070
Cidreira,67.41,93,100,13.22,-30.18,-50.21,BR,1604991070
Maniitsoq,18.68,87,99,5.61,65.42,-52.9,GL,1604991070
Sampang,87.64,54,100,4.79,-7.19,113.24,ID,1604991070
Seoul,55.4,30,1,3.36,37.57,126.98,KR,1604990823
São João do Piauí,74.5,70,0,7.18,-8.36,-42.25,BR,1604991071
Puri,84.2,48,75,10.29,19.8,85.85,IN,1604991071
Makat,46.31,58,100,10.78,47.65,53.35,KZ,1604991071
Guanare,72.23,92,100,2.64,9.04,-69.74,VE,1604991071
Cajititlán,63.0,72,5,4.07,20.43,-103.32,MX,1604991072
Itarema,78.21,84,11,11.56,-2.92,-39.92,BR,1604991046
Jaumave,73.0,67,0,5.01,23.42,-99.38,MX,1604991072
Dubbo,82.4,26,0,8.05,-32.25,148.62,AU,1604990977
Nahavand,58.42,52,4,5.14,34.19,48.38,IR,1604991073
Otofuke,39.2,41,20,11.41,42.99,143.2,JP,1604991073
Port-Gentil,77.0,94,20,15.68,-0.72,8.78,GA,1604991073
Chicama,60.39,84,90,1.74,-7.84,-79.15,PE,1604991073
Payson,33.8,50,75,3.36,40.04,-111.73,US,1604991073
Lorengau,84.99,65,5,4.12,-2.02,147.27,PG,1604991074
Tiarei,78.8,69,75,4.7,-17.53,-149.33,PF,1604991074
Coyhaique,47.91,85,98,5.03,-45.58,-72.07,CL,1604991074
Pacifica,50.0,49,20,5.82,37.61,-122.49,US,1604991074
Northam,52.0,97,93,5.99,51.03,-4.22,GB,1604991075
Pisco,62.6,88,0,8.05,-13.7,-76.22,PE,1604991075
Merauke,84.65,72,97,20.27,-8.47,140.33,ID,1604991075
Ancud,50.0,87,0,13.87,-41.87,-73.82,CL,1604991076
Acarí,62.71,71,37,2.33,-15.43,-74.62,PE,1604991076
Butembo,66.52,93,100,0.54,0.15,29.28,CD,1604991076
Zhigansk,-3.6,91,100,21.09,66.77,123.37,RU,1604991076
Gijang,60.8,15,20,9.17,35.24,129.21,KR,1604991077
Beloha,94.37,27,1,6.67,-25.17,45.05,MG,1604991077
Fortuna,39.99,86,90,6.93,40.6,-124.16,US,1604990932
Luanda,75.2,88,75,5.82,-8.84,13.23,AO,1604990896
Bac Lieu,82.47,67,100,13.33,9.29,105.72,VN,1604991077
Kungurtug,34.41,80,0,1.43,50.6,97.52,RU,1604991078
Litovko,22.01,76,4,3.83,49.24,135.17,RU,1604990781
Upington,64.4,42,0,5.82,-28.45,21.26,ZA,1604991078
Grand Gaube,80.01,61,0,11.99,-20.01,57.66,MU,1604991078
Pangnirtung,3.2,82,73,2.57,66.15,-65.71,CA,1604991070
Iquitos,75.2,94,0,3.36,-3.75,-73.25,PE,1604991079
Cabo San Lucas,73.0,81,52,1.01,22.89,-109.91,MX,1604990847
San Luis,61.09,83,100,18.43,-33.3,-66.34,AR,1604991075
Gornopravdinsk,28.67,97,100,8.39,60.05,69.9,RU,1604991080
Povenets,33.69,90,51,12.66,62.85,34.83,RU,1604991080
Makakilo City,78.8,69,1,4.7,21.35,-158.09,US,1604991080
Sur,83.35,52,0,7.83,22.57,59.53,OM,1604990926
Vysokogornyy,9.37,87,60,8.34,50.12,139.15,RU,1604991081
Yārāda,86.0,40,0,8.05,17.65,83.27,IN,1604991081
Rafai,78.69,71,100,1.72,4.95,23.92,CF,1604991081
Kushima,64.4,45,20,6.93,31.46,131.23,JP,1604991081
Vila Velha,75.2,83,20,9.17,-20.33,-40.29,BR,1604990898
Le Port,82.4,45,0,21.92,-20.94,55.29,RE,1604990991
Tianpeng,71.01,1,34,5.01,30.99,103.94,CN,1604990923
Macomb,66.0,88,40,11.41,40.46,-90.67,US,1604991082
Sakaiminato,57.2,50,75,10.29,35.55,133.23,JP,1604991083
Severo-Kuril'sk,36.23,79,100,14.79,50.68,156.12,RU,1604991083
Urubichá,70.95,93,100,2.13,-15.38,-62.95,BO,1604991083
Garden City,64.0,72,20,4.7,42.33,-83.33,US,1604991083
Orocovis,78.01,96,100,2.51,18.23,-66.39,PR,1604991083
Salalah,87.8,38,0,4.7,17.02,54.09,OM,1604991084
Cerritos,51.8,57,1,4.7,33.86,-118.06,US,1604991084
Flin Flon,5.34,93,0,1.28,54.77,-101.86,CA,1604991084
Dnestrovsc,46.4,81,90,8.95,46.62,29.91,MD,1604991084
Emerald,86.0,23,40,12.75,-23.53,148.17,AU,1604991085
Taoudenni,73.35,21,0,9.33,22.68,-3.98,ML,1604991085
Basco,78.57,83,78,33.8,20.45,121.97,PH,1604991085
Oga,42.01,100,0,1.12,46.46,10.35,IT,1604991085
Narsaq,24.28,88,3,3.47,60.92,-46.05,GL,1604991085
Taltal,57.04,80,84,3.11,-25.4,-70.48,CL,1604991086
Gongzhuling,42.06,59,0,11.5,43.5,124.82,CN,1604991086
Saldanha,60.8,48,0,10.29,-33.01,17.94,ZA,1604991086
Enfield,93.2,26,0,13.87,-34.85,138.6,AU,1604991085
High Level,26.6,100,75,9.17,58.52,-117.14,CA,1604991086
Owando,72.99,93,96,2.91,-0.48,15.9,CG,1604991087
Geraldton,68.0,42,75,17.22,-28.77,114.6,AU,1604991087
Mujiayingzi,53.74,38,0,9.66,42.12,118.78,CN,1604991087
Kununurra,104.0,29,75,11.41,-15.77,128.73,AU,1604991087
Young,63.0,85,81,1.99,-32.68,-57.63,UY,1604991088
Novocheremshansk,33.44,90,99,13.33,54.36,50.17,RU,1604991088
Kokstad,52.59,92,100,4.63,-30.55,29.42,ZA,1604991088
Fairbanks,21.2,92,40,4.7,64.84,-147.72,US,1604990918
São Francisco,69.55,70,65,1.66,-15.95,-44.86,BR,1604991089
Alofi,73.4,78,77,6.93,-19.06,-169.92,NU,1604991089
Istmina,71.56,96,100,1.1,5.16,-76.68,CO,1604991089
Abu Samrah,65.23,51,0,6.58,35.3,37.18,SY,1604991089
Oussouye,82.4,83,20,4.7,12.48,-16.55,SN,1604991090
Mayo,55.4,100,1,6.38,38.89,-76.51,US,1604991090
Kjøllefjord,35.6,80,75,20.8,70.95,27.35,NO,1604991090
Custódia,69.49,80,36,7.63,-8.09,-37.64,BR,1604991090
Dunedin,53.01,75,12,11.01,-45.87,170.5,NZ,1604991090
Jalu,63.82,71,0,8.57,29.03,21.55,LY,1604991091
San Cristobal,66.24,86,100,2.01,7.77,-72.22,VE,1604991091
Mandalgovi,43.5,47,99,15.3,45.76,106.27,MN,1604991091
Maxixe,84.2,70,40,13.87,-23.86,35.35,MZ,1604991091
West Bay,79.0,89,87,3.0,19.37,-81.42,KY,1604991092
